"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b4414",191.449661247466,0.33489790382651,0.310678222738349,1.07795744701604,0.281052746647355,0.355106063710039
"b0169",18527.8517110076,1.63166282553604,0.308136589750022,5.29525827120932,1.18848314904485e-07,3.67137946694071e-06
"b0170",12906.3946320344,1.46907778317775,0.378826868006992,3.877966182564,0.000105333354536678,0.000916400184469096
"b0171",2180.65381616965,0.906135621585609,0.301498111530601,3.00544377205374,0.00265193622633727,0.00955638557301419
"b0172",3244.28504223194,1.12475959262505,0.36651011520603,3.06883642759158,0.00214894216704298,0.00830547638994038
"b0173",887.636122426955,0.475496906877788,0.222145823265948,2.14047196515837,0.0323166440858616,0.0586237675480971
"b4809",19.4280581691761,0.0917865750795101,0.44882873315235,0.204502448929343,0.837960878464754,0.874331738899016
"b0174",3571.26354092654,0.939793912471897,0.281503510723324,3.33848025574208,0.000842380166840275,0.00427151405633886
"b0175",2291.33827166846,1.06912830648257,0.250851532088259,4.26199631942613,2.02608781120376e-05,0.00023534638526326
"b0176",6100.61083950606,0.822626319849427,0.299183832924935,2.74956808931525,0.00596738635035817,0.0165510527075972
"b0177",9438.54382972711,0.817134940370341,0.343050003661833,2.38197035897964,0.0172202834785035,0.0360132951903064
"b0178",9569.88591635455,1.1112693976166,0.317339633346443,3.50182984047067,0.000462074624881388,0.00274348764048657
"b0179",4872.31939343475,1.03048291755641,0.322440132609582,3.19588913829206,0.00139400662632349,0.00617097637384947
"b0180",2235.71469450164,0.658712715199196,0.338773363823359,1.94440527367629,0.0518465984164002,0.0853836946477026
"b0181",3743.67298040471,1.4252373258127,0.292678156313826,4.86964023473102,1.11801615602644e-06,2.30246515610662e-05
"b0182",1141.23167040693,0.771061001131697,0.255695504586195,3.01554382967953,0.0025651886166375,0.00937855838141137
"b0183",551.991580389765,0.885736813640302,0.256345744536693,3.45524289955013,0.000549797266702983,0.00314364072257236
"b0184",5335.3557840363,0.786209139480708,0.240872148936772,3.2640101520707,0.00109847229338181,0.00519159610211164
"b0185",3530.4970204843,1.20742867248995,0.322129257944183,3.74827384570939,0.000178055787147905,0.00135537394489393
"b0186",827.599204240302,-0.448668449954696,0.19475856483952,-2.30371614375161,0.0212385830120458,0.0421705073965307
"b0187",179.051253202427,-0.468684375328909,0.251561042293735,-1.86310396496787,0.0624476405141597,0.099705727158001
"b0188",535.346825073609,0.424284416684096,0.218147862833651,1.9449395981827,0.0517822484389756,0.0853296192869552
"b0189",195.014444770483,0.120474254238573,0.316550747217587,0.380584330624761,0.703511710172871,0.763705225481779
"b4406",214.883730314336,0.400847090046355,0.253649863060945,1.58031660340397,0.114034379389395,0.165857577392355
"b0190",336.454506279755,-0.0676452815839636,0.228824098921958,-0.295621317434028,0.767519291945263,0.817992042746476
"b0191",54.5809021557351,-0.739510971148374,0.311657451068229,-2.37283263600355,0.0176522605009213,0.0366187768931522
"b0192",383.163359974018,0.166303134976488,0.232232741478358,0.716105463501088,0.473926230470498,0.557491037664386
"b0193",238.894158972948,-0.744259599871643,0.268676888849939,-2.77009162588348,0.0056040525474073,0.0158527378962159
"b0194",5812.27294957809,1.25931617282414,0.314679280040147,4.00190369274862,6.28348758242779e-05,0.000606029582893431
"b0195",339.956234984333,-0.0785866093546537,0.204119901432436,-0.385002191374592,0.700235791964916,0.761155831304307
"b0196",211.902542646962,0.0901271760268896,0.256508815952764,0.351360929612207,0.725317589773472,0.782000223875647
"b0197",5539.65581566839,1.73686790592164,0.303663890811315,5.71970510316904,1.06709093440577e-08,4.73855068059562e-07
